id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_376,REG - IngeniousMediaActiveLloyds Banking Group - Holding(s) in Company,- ingeniousmediaactivelloyds banking group|holding(s|company|ingeniousmediaactivelloyds|banking|group,nifty_412,REG - Henderson EurotrustLloyds Banking Group - Holding(s) in Company,reg - henderson eurotrustlloyds banking group|holding(s|company|henderson|eurotrustlloyds|banking|group,0.8099359,0.4444444444444444,71
nifty_134,REG - Marwyn Materials LtdLloyds Banking Group - Holding(s) in Company,marwyn materials ltdlloyds banking group|holding(s|company|marwyn|materials|ltdlloyds|banking|group,nifty_141,REG - Damille InvestLloyds Banking Group - Holding(s) in Company,reg - damille investlloyds banking group|holding(s|company|damille|investlloyds|banking|group,0.8099342,0.36363636363636365,13
nifty_113,REG - Bankers Investment - Blocklisting Interim Review,reg - bankers investment - blocklisting interim review,nifty_343,REG - Moneysupermarket.com - Blocklisting Interim Review,- blocklisting interim review|interim,0.80990916,0.0,420
nifty_113,REG - Bankers Investment - Blocklisting Interim Review,reg - bankers investment - blocklisting interim review,nifty_128,REG - Moneysupermarket.com - Blocklisting Interim Review,- blocklisting interim review|interim,0.8099091,0.0,24
nifty_113,REG - Bankers Investment - Blocklisting Interim Review,reg - bankers investment - blocklisting interim review,nifty_412,REG - Moneysupermarket.com - Blocklisting Interim Review,- blocklisting interim review|interim,0.8099091,0.0,548
nifty_113,REG - Bankers Investment - Blocklisting Interim Review,reg - bankers investment - blocklisting interim review,nifty_511,REG - Moneysupermarket.com - Blocklisting Interim Review,- blocklisting interim review|interim,0.8099091,0.0,730
nifty_141,REG - Damille InvestLloyds Banking Group - Holding(s) in Company,reg - damille investlloyds banking group|holding(s|company|damille|investlloyds|banking|group,nifty_470,REG - ISIS Prop Trust LtdLloyds Banking Group - Holding(s) in Company,isis prop trust ltdlloyds banking group|holding(s|company|isis|prop|trust|ltdlloyds|banking|group,0.80988663,0.3333333333333333,603
nifty_218,REG - ASB Finance LimitedASB Bank Ld - ASB Bank half-year results,asb finance limitedasb bank ld|asb|finance|limitedasb|bank|ld,nifty_534,REG - ASB Finance LimitedASB Bank Limited - Annual Financial Report,asb finance limitedasb bank limited|- annual financial report|asb|finance|limitedasb|bank|limited|annual|financial|report,0.8098743,0.3333333333333333,581
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_202,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.80980074,0.25,148
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_309,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.80980074,0.25,344
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_381,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098007,0.25,476
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_493,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098007,0.25,681
nifty_381,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.8098007,0.25,23
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_234,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098006,0.25,206
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_438,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098006,0.25,582
nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_381,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098006,0.25,201
nifty_202,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.80980057,0.25,127
nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_309,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.80980057,0.25,69
nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_493,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098005,0.25,406
nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_438,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098005,0.25,83
nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_493,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.8098005,0.25,182
nifty_202,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.80980045,0.25,351
nifty_234,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.80980045,0.25,69
nifty_272,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_438,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,0.80980045,0.25,307
nifty_309,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.80980045,0.25,155
nifty_234,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_394,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,0.8098004,0.25,293
nifty_142,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,nifty_355,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,0.8097062,0.2857142857142857,390
nifty_276,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,nifty_322,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,0.8097062,0.2857142857142857,84
nifty_276,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,nifty_355,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,0.8097062,0.2857142857142857,145
nifty_355,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,nifty_355,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,0.80970615,0.2857142857142857,0
nifty_142,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,nifty_322,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,0.8097061,0.2857142857142857,329
nifty_322,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,nifty_322,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,0.8097061,0.2857142857142857,0
nifty_322,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,nifty_355,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,0.8097061,0.2857142857142857,61
nifty_322,REG - BH Global Limited - Monthly Shareholder Report,reg - bh global limited|monthly shareholder report|bh|global|limited|report,nifty_355,REG - BH Credit Catalysts$ - Monthly Shareholder Report,reg - bh credit catalysts$|monthly shareholder report|bh,0.8097061,0.2857142857142857,61
nifty_166,REG - Westpac Banking. - Analysts' Presentation,westpac banking|analysts' presentation|westpac|banking,nifty_273,REG - Westpac Banking. - Supplementary Prospectus,westpac banking|supplementary prospectus|westpac|banking,0.809706,0.6,197
nifty_119,REG - Goldman Sachs Group. - Half Yearly Report,goldman sachs group|half yearly report|goldman|sachs|group,nifty_478,REG - Goldman Sachs Select - Interim Report 31.03.2012,goldman sachs select - interim report|goldman|sachs|select|interim|report,0.80960333,0.2222222222222222,659
nifty_268,REG - Nestle Holdings Inc - Publication of Prospectus,reg - nestle holdings inc|- publication|prospectus|nestle|holdings|inc,nifty_529,REG - Mitsui & Co Ltd - Publication of Prospectus,- mitsui|co ltd|prospectus|mitsui|co|ltd,0.80958503,0.09090909090909091,482
nifty_444,REG - CR Global Fund Ltd - Annual Report 31.12.2011,reg - cr global fund ltd - annual report|cr|global|fund|ltd|annual|report,nifty_511,"REG - III Fund Ltd - June 30, 2012 Final Performance Report",reg - iii fund ltd|final performance report|iii|fund|ltd|june|performance,0.80955344,0.16666666666666666,125
nifty_362,REG - SR Global Fund Inc. - Interim Report 30.06.2011,sr global fund inc.|- interim report|sr|global|fund|inc.|interim|report,nifty_364,REG - Maverick Fund Ltd - Interim Report 30.06.2011,reg - maverick fund ltd - interim report|maverick|fund|ltd|interim|report,0.8095522,0.2727272727272727,5
