distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Logistic,20,0.1481124826876524,0.6256856665871691,4.296224965375305,17.403660897572525,"[0.0016703995852038703, 0.3238384378106531]",528.0,900.0,487.0,419.0,583.5
Weibull,19,0.13805604647525474,0.6143776248771335,4.27611209295051,17.392782362445335,"[2.3605429588678306, 0.08752296916112699]",499.0,974.0,466.0,404.0,585.75
Burr_III,19,0.13806981452141043,0.6143776248771335,4.276139629042821,17.392809898537646,"[0.33105228180144974, 0.14776690265441844]",500.0,974.0,467.0,405.0,586.5
Gamma,154,0.22733434307467756,0.8541912632821723,4.454668686149355,17.790716848386996,"[4.6099552769609965e-05, 0.006370780859631441]",767.0,146.0,672.0,763.0,587.0
LogNormal,10,0.18018352947746297,0.6680211680211681,4.360367058954926,17.460075006266496,"[1.8182703774106337, 2.8723458523469358e-11]",612.0,745.0,555.0,437.0,587.25
Burr_XII,19,0.1380719940521468,0.6143776248771335,4.276143988104294,17.39281425759912,"[0.1368167778919166, 3.355770882914275]",501.0,974.0,468.0,406.0,587.25
Logistic,19,0.13810104105868665,0.6143776248771335,4.276202082117373,17.392872351612198,"[0.000693754764985765, 0.2974147377647081]",502.0,974.0,469.0,407.0,588.0
Weibull,154,0.22797986099059422,0.8541912632821723,4.455959721981189,17.79200788421883,"[2.8359220469113113, 0.048851305181322684]",771.0,146.0,676.0,766.0,589.75
Gamma,172,0.2001815347688299,0.7786561264822134,4.40036306953766,17.77018026117932,"[5.980079838189827e-05, 0.006692673742877223]",673.0,365.0,600.0,725.0,590.75
Logistic,154,0.2281884582678522,0.8541912632821723,4.456376916535705,17.792425078773345,"[4.422561655965278e-08, 0.16425288572288718]",772.0,146.0,677.0,769.0,591.0
Exponential,31,0.3790662739987495,0.5785046728971963,2.7581325479974987,9.34130072833727,[0.8780798810622954],1074.0,1241.0,25.0,24.0,591.0
Exponential,30,0.3826570284341719,0.5802642980935875,2.765314056868344,9.33243961703279,[0.8716374741871517],1083.0,1231.0,27.0,23.0,591.0
Weibull,172,0.20078337477207914,0.7786561264822134,4.401566749544158,17.771383941185817,"[2.7956761574071614, 0.052459225874659295]",676.0,365.0,602.0,726.0,592.25
Gamma,169,0.1968452340810074,0.7650602409638553,4.393690468162015,17.766549485485086,"[6.631259536543502e-05, 0.006918154195473946]",655.0,408.0,586.0,720.0,592.25
Weibull,169,0.19740796856375092,0.7650602409638553,4.394815937127502,17.767674954450573,"[2.770129429704066, 0.053912181792414186]",656.0,408.0,587.0,721.0,593.0
Logistic,172,0.20098078258696947,0.7786561264822134,4.401961565173939,17.771778756815596,"[1.9750381093514054e-07, 0.17701055698897167]",677.0,365.0,603.0,727.0,593.0
Logistic,169,0.19757064667864305,0.7650602409638553,4.395141293357286,17.76800031068036,"[3.284714005335815e-07, 0.18118861406988432]",657.0,408.0,588.0,722.0,593.75
Burr_III,123,0.15963387575540483,0.6935041848751944,4.31926775151081,17.65600378993752,"[0.1635225376664723, 0.06502277534800696]",560.0,700.0,512.0,605.0,594.25
Exponential,9,0.5896266871308347,0.6141924959216964,3.1792533742616693,9.729107347917456,[0.17499091759169227],1270.0,981.0,67.0,59.0,594.25
Exponential,173,0.4019533488042924,0.5839530332681018,2.8039066976085847,9.488307808008729,[2.8809876375889862],1113.0,1197.0,33.0,36.0,594.75
LogNormal,153,0.2472299964525621,0.9304635761589403,4.494459992905124,17.83188367101542,"[0.633417012960226, 4.2038016517837484e-13]",812.0,28.0,707.0,832.0,594.75
Burr_XII,123,0.15993625949056545,0.6935041848751944,4.319872518981131,17.656608557407843,"[0.046356193655509845, 4.602310552578494]",562.0,700.0,514.0,606.0,595.5
Exponential,23,0.5072203109686837,0.5944088992293151,3.0144406219373674,9.572199775100266,[0.7040152793696234],1202.0,1091.0,52.0,40.0,596.25
Gamma,150,0.23299509305456254,0.8618724229929663,4.465990186109125,17.8075347447982,"[5.249213858106208e-05, 0.006564487247749609]",786.0,123.0,687.0,789.0,596.25
Weibull,150,0.23372685849709543,0.8618724229929663,4.467453716994191,17.808998275683265,"[2.7960400162769465, 0.051708479632788365]",788.0,123.0,690.0,796.0,599.25
Exponential,135,0.6907943797020301,0.631079027355623,3.3815887594040603,10.039586827411318,[1.3046915206739742],1365.0,868.0,84.0,82.0,599.75
Logistic,150,0.23396333573326145,0.8618724229929663,4.467926671466523,17.809471230155598,"[1.7174115245320932e-07, 0.1751363626370101]",789.0,123.0,691.0,797.0,600.0
Exponential,8,0.5676616784315485,0.603069689584718,3.135323356863097,9.684402737141657,[0.14341552426254187],1251.0,1031.0,64.0,54.0,600.0
Exponential,21,0.6959108148864865,0.6274469123749085,3.391821629772973,9.945732404124374,[0.5904045430108217],1369.0,880.0,85.0,76.0,602.5
Gamma,163,0.21001186857647583,0.7921264539218609,4.420023737152952,17.798952561866333,"[6.358931189497441e-05, 0.006768548802204403]",690.0,335.0,613.0,776.0,603.5
Weibull,163,0.21078356481597318,0.7921264539218609,4.4215671296319465,17.800495954345326,"[2.7825113279927023, 0.053621635382565015]",693.0,335.0,615.0,778.0,605.25
Exponential,197,0.6143552698792485,0.6115255501678478,3.228710539758497,9.934207359646237,[1.5364215269000123],1292.0,988.0,70.0,73.0,605.75
Logistic,163,0.2110143849597785,0.7921264539218609,4.422028769919557,17.800957594632937,"[3.0972280665783756e-07, 0.18121202849468807]",694.0,335.0,616.0,779.0,606.0
Gamma,171,0.2142081954498708,0.8090485695276115,4.428416390899741,17.79924803856112,"[5.2269701209963545e-05, 0.006368295316782507]",716.0,304.0,632.0,777.0,607.25
Weibull,171,0.2151053480209683,0.8090485695276115,4.430210696041937,17.801042343703315,"[2.829360698396863, 0.050958807650235714]",717.0,304.0,633.0,780.0,608.5
Logistic,171,0.21539645770924715,0.8090485695276115,4.430792915418494,17.801624563079873,"[1.1673004044543923e-07, 0.17335103297873367]",718.0,304.0,634.0,782.0,609.5
Gamma,166,0.2196686669387294,0.826474622770919,4.439337333877459,17.81523355755491,"[4.943059386974027e-05, 0.006259129859630321]",730.0,259.0,643.0,807.0,609.75
Gamma,190,0.18641731914803736,0.7243971998962925,4.372834638296075,17.727372916821817,"[5.991695978863686e-05, 0.006747411522350191]",631.0,572.0,569.0,669.0,610.25
Gamma,175,0.20417635080208196,0.7633754863813229,4.408352701604164,17.775123434164783,"[6.37822631363084e-05, 0.00676887287718549]",683.0,419.0,608.0,732.0,610.5
Gamma,155,0.22529145210937448,0.8493942731277534,4.450582904218749,17.837576255988008,"[4.294889079898145e-05, 0.00605656349332008]",758.0,175.0,666.0,843.0,610.5
Weibull,190,0.18679557381445602,0.7243971998962925,4.373591147628912,17.728129426154656,"[2.7981631363142028, 0.05184252865231349]",633.0,572.0,570.0,670.0,611.25
Weibull,16,0.1665856620709022,0.6232932150900901,4.333171324141804,17.44369010858719,"[2.495394613746914, 0.08030442499692989]",575.0,916.0,525.0,429.0,611.25
Gamma,192,0.1629188479072933,0.7007168458781362,4.325837695814586,17.740803531533327,"[6.458599735957319e-05, 0.006724116932470333]",565.0,674.0,517.0,691.0,611.75
Burr_III,16,0.16659537487507822,0.6232932150900901,4.333190749750156,17.44370953419554,"[0.3135919502748307, 0.1271512221400682]",576.0,916.0,526.0,430.0,612.0
Weibull,155,0.22619069693897723,0.8493942731277534,4.452381393877954,17.839374745647213,"[2.876692773801447, 0.04784964890822378]",761.0,175.0,668.0,845.0,612.25
Weibull,175,0.20489476936816586,0.7633754863813229,4.409789538736332,17.776560271296947,"[2.7839354519706494, 0.05356163714579789]",686.0,419.0,611.0,733.0,612.25
Logistic,190,0.1869165999588616,0.7243971998962925,4.373833199917724,17.728371478443467,"[1.4281019314860108e-07, 0.17384657515765706]",635.0,572.0,572.0,672.0,612.75
Weibull,192,0.163179252129198,0.7007168458781362,4.326358504258396,17.741324339977137,"[2.808229900280988, 0.0523474956461646]",566.0,674.0,518.0,693.0,612.75
Exponential,159,0.6237191066840851,0.609341252699784,3.24743821336817,9.939424695157571,[2.8810382115617834],1306.0,999.0,72.0,74.0,612.75
Burr_XII,16,0.16660312605471722,0.6232932150900901,4.333206252109434,17.44372503655482,"[0.12408091297759583, 3.556361751039582]",577.0,916.0,527.0,431.0,612.75
Logistic,175,0.20510865870969358,0.7633754863813229,4.410217317419387,17.776988049980005,"[2.9927232897391746e-07, 0.18094087246325918]",687.0,419.0,612.0,734.0,613.0
Logistic,192,0.1632693847791219,0.7007168458781362,4.326538769558244,17.741504605276983,"[1.6630348840649056e-07, 0.17624775284190444]",567.0,674.0,519.0,694.0,613.5
Gamma,16,0.16660809102391075,0.6232932150900901,4.333216182047821,17.443734966493206,"[0.0002371042753035677, 0.00922776082159547]",578.0,916.0,528.0,432.0,613.5
Weibull,166,0.22063689099955325,0.826474622770919,4.441273781999106,17.817170005676562,"[2.8432462887538983, 0.0501869190765576]",738.0,259.0,649.0,810.0,614.0
Logistic,155,0.22649215769684705,0.8493942731277534,4.452984315393694,17.839977667162955,"[2.8906130736982598e-08, 0.16267586441326512]",764.0,175.0,670.0,848.0,614.25
Logistic,16,0.1666392983702441,0.6232932150900901,4.333278596740488,17.443797381185874,"[0.0002568604020872493, 0.2804998972152141]",580.0,916.0,530.0,433.0,614.75
Logistic,166,0.22094785008698895,0.826474622770919,4.441895700173978,17.81779192385143,"[8.48928161672793e-08, 0.170922908757821]",741.0,259.0,652.0,811.0,615.75
Exponential,155,0.6358694787732976,0.6090308370044052,3.271738957546595,9.965235633431226,[2.88103820127093],1311.0,1001.0,73.0,78.0,615.75
Gamma,146,0.2445107844078667,0.8912363067292645,4.489021568815733,17.885048812983584,"[3.374360185073604e-05, 0.005653684005761069]",803.0,81.0,702.0,878.0,616.0
Exponential,131,1.0605782225123677,0.6971026321158947,4.121156445024735,10.826653264912476,[1.3170720478109157],1500.0,696.0,159.0,112.0,616.75
Weibull,146,0.24565314064272697,0.8912363067292645,4.491306281285454,17.887333525453304,"[2.9286895626635703, 0.04504253717711361]",809.0,81.0,705.0,879.0,618.5
Exponential,38,0.2957057888299789,0.5386383111318844,2.591411577659958,9.157013908283883,[1.1423742926051168],935.0,1516.0,12.0,11.0,618.5
Gamma,180,0.1745982509239591,0.6984052532833023,4.349196501847918,17.71087946773706,"[7.508782682500786e-05, 0.007299006136533735]",594.0,688.0,540.0,654.0,619.0
Logistic,146,0.24595612481991114,0.8912363067292645,4.491912249639823,17.88793949380767,"[1.0842091231712298e-08, 0.1565108564916115]",811.0,81.0,706.0,880.0,619.5
Weibull,180,0.17490400825824998,0.6984052532833023,4.3498080165165,17.711490982405643,"[2.7294824895481913, 0.05570621368584831]",595.0,688.0,541.0,655.0,619.75
Logistic,180,0.17495502106283464,0.6984052532833023,4.34991004212567,17.71159300801481,"[5.846764251717505e-07, 0.18549480684972153]",596.0,688.0,542.0,656.0,620.5
LogNormal,22,0.23993630356841975,0.7591496822266053,4.47987260713684,17.598844814349818,"[1.0660991953240482, 1.0219226230905674e-09]",795.0,441.0,695.0,560.0,622.75
Exponential,25,0.5108142263718148,0.584332969829153,3.02162845274363,9.583029898824186,[0.8796761684131917],1205.0,1192.0,53.0,44.0,623.5
Exponential,195,0.4475745219050124,0.5755905511811023,2.895149043810025,9.601308334738885,[1.7103162516460642],1147.0,1271.0,36.0,46.0,625.0
Exponential,156,0.7256749202634797,0.6258840169731258,3.4513498405269596,10.170013407575912,[2.936066571653394],1414.0,899.0,93.0,95.0,625.25
Gamma,181,0.2111289347447596,0.7586792452830189,4.42225786948952,17.782921727076356,"[6.113605925120722e-05, 0.006619075200740021]",697.0,449.0,618.0,745.0,627.25
LogNormal,191,0.21758532269828776,0.8226094727435209,4.435170645396576,17.85079774744635,"[0.34697777625090676, 0.0421672723095525]",723.0,287.0,638.0,861.0,627.25
LogNormal,11,0.1888424508479443,0.634216305858097,4.377684901695889,17.483963538075304,"[1.7594704606898133, 1.8240778538680904e-12]",640.0,838.0,576.0,459.0,628.25
Exponential,170,0.5112546003065371,0.5840840840840841,3.022509200613074,9.736584100154596,[2.93602602215095],1208.0,1196.0,54.0,60.0,629.5
Exponential,46,0.4277605419348543,0.5694408390010903,2.8555210838697085,9.426444597706913,[1.0872823781857037],1128.0,1329.0,35.0,30.0,630.5
Exponential,188,0.6771431457931878,0.6070441988950276,3.3542862915863756,10.063091086703661,[1.7416254062457754],1346.0,1016.0,76.0,86.0,631.0
Exponential,13,0.7386537218385419,0.6231377733014395,3.477307443677084,10.026967825230823,[0.2813395246691396],1426.0,924.0,94.0,81.0,631.25
Weibull,181,0.21197402710340918,0.7586792452830189,4.423948054206818,17.784611911793654,"[2.800872095117999, 0.052983794373001984]",703.0,449.0,622.0,751.0,631.25
Logistic,181,0.2122292260332682,0.7586792452830189,4.424458452066537,17.78512230965337,"[2.459878522976981e-07, 0.1797682866333435]",705.0,449.0,624.0,753.0,632.75
Exponential,187,0.6808232668471863,0.6069444444444444,3.3616465336943726,10.070781525281555,[1.741625057591123],1350.0,1021.0,79.0,87.0,634.25
LogNormal,39,0.22590137164374516,0.7425363720460852,4.45180274328749,17.61551615277141,"[0.5444283967862081, 1.6571741468494474e-09]",759.0,537.0,667.0,575.0,634.5
LogNormal,26,0.24845250301971583,0.7614412136536031,4.496905006039432,17.641025191753585,"[0.763276615523027, 5.092518368018733e-10]",815.0,426.0,710.0,594.0,636.25
Exponential,47,0.4236368760892314,0.5668133802816901,2.847273752178463,9.431190575637608,[2.1972089583051093],1126.0,1355.0,34.0,31.0,636.5
Burr_III,130,0.1984828712392965,0.7458524027459954,4.396965742478593,17.808953171094394,"[0.16200686022168737, 0.06408523630310492]",659.0,509.0,589.0,795.0,638.0
Exponential,145,0.7797142775370636,0.6251184834123222,3.559428555074127,10.257942802950737,[1.725927471263673],1447.0,908.0,100.0,100.0,638.75
Exponential,141,0.5550967389316999,0.584820710725197,3.1101934778633997,9.76296596352146,[1.6929540147217637],1246.0,1186.0,61.0,63.0,639.0
LogNormal,47,0.2333637352246607,0.7483568075117372,4.466727470449321,17.63456111736761,"[0.8665855216772507, 6.914181423132691e-30]",787.0,495.0,688.0,588.0,639.5
Burr_XII,130,0.19904680970535582,0.7458524027459954,4.398093619410711,17.810081048026515,"[0.045783035353954234, 4.621314088328297]",661.0,509.0,591.0,798.0,639.75
Exponential,143,0.7906961685545659,0.6247596153846154,3.581392337109132,10.280907085319324,[1.725927465094707],1449.0,910.0,101.0,101.0,640.25
Gamma,151,0.23871178652316616,0.8442932728647015,4.477423573046332,17.86843702667164,"[4.785714777862841e-05, 0.006164380339287174]",793.0,210.0,693.0,869.0,641.25
Exponential,27,0.47521370350375164,0.572489539748954,2.950427407007503,9.508954461916717,[0.861703913343444],1182.0,1302.0,44.0,38.0,641.5
Weibull,151,0.23979672771818084,0.8442932728647015,4.479593455436362,17.870606909061667,"[2.849843247006675, 0.05011110754440624]",794.0,210.0,694.0,870.0,642.0
Logistic,151,0.24015565972451983,0.8442932728647015,4.48031131944904,17.871324773074345,"[9.0042720524699e-08, 0.1717406721590573]",796.0,210.0,696.0,871.0,643.25
Exponential,15,0.6875581789675057,0.5975031488478921,3.3751163579350116,9.924970331590798,[0.3443058800129263],1356.0,1062.0,83.0,72.0,643.25
Exponential,138,0.5672521419740004,0.5842373438527285,3.134504283948001,9.789892974115638,[1.6929540147218458],1250.0,1195.0,63.0,66.0,643.5
Exponential,134,0.7459643993664928,0.6182751297781971,3.4919287987329857,10.150795148465368,[1.3046917449933075],1433.0,952.0,95.0,94.0,643.5
Burr_III,12,0.19966309133343388,0.6341666666666668,4.399326182666868,17.49903412997844,"[0.32993092225505194, 0.12421373956715318]",664.0,849.0,594.0,472.0,644.75
Burr_XII,12,0.199679417460247,0.6341666666666668,4.399358834920494,17.499066782232067,"[0.12903723409382334, 3.5927160982008064]",665.0,849.0,595.0,473.0,645.5
Gamma,143,0.25731223491508337,0.8858173076923078,4.514624469830167,17.91365396625055,"[2.975290917482586e-05, 0.005446462556977696]",848.0,95.0,734.0,907.0,646.0
Logistic,12,0.19967952379390455,0.6341666666666668,4.399359047587809,17.49906699489938,"[0.00041671489668878317, 0.29888298341639413]",666.0,849.0,596.0,474.0,646.25
Weibull,12,0.1996946699145655,0.6341666666666668,4.399389339829131,17.499097287140703,"[2.5317656845105687, 0.08248682661526359]",667.0,849.0,597.0,475.0,647.0
Gamma,159,0.22244847281239657,0.7786177105831533,4.4448969456247935,17.828869909203597,"[5.2416894415513564e-05, 0.006373040797509096]",743.0,372.0,653.0,822.0,647.5
Exponential,162,0.6839801572950256,0.5955414012738853,3.367960314590051,10.058434318148095,[2.8810381872494344],1352.0,1074.0,80.0,84.0,647.5
Weibull,143,0.2585963889471968,0.8858173076923078,4.517192777894394,17.916222274314777,"[2.956525697373213, 0.043695198392037275]",851.0,95.0,736.0,908.0,647.5
Gen_Gamma,178,0.032110009323793764,0.9985835694050991,6.064220018647587,26.198549975873988,"[116168.26265886996, 0.004978307362192297, 0.5375968756982958]",5.0,2.0,1105.0,1480.0,648.0
Gamma,12,0.19992075782457205,0.6341666666666668,4.399841515649144,17.499549462960715,"[0.00026051674322742846, 0.008666948006244684]",669.0,849.0,599.0,476.0,648.25
Logistic,143,0.25890292928562625,0.8858173076923078,4.517805858571252,17.916835354991637,"[6.442632800367782e-09, 0.1535081026429339]",852.0,95.0,737.0,909.0,648.25
Gen_Gamma,164,0.03593501549869053,0.9276923076923077,6.071870030997381,26.055231111666025,"[116087.35736296402, 0.0051354373781622095, 0.5725736131873116]",9.0,29.0,1107.0,1453.0,649.5
Gamma,140,0.25339913234965544,0.8270348837209303,4.506798264699311,17.814088893802783,"[5.114514161024472e-05, 0.006640211319320328]",827.0,252.0,718.0,805.0,650.5
Weibull,140,0.2539419799468069,0.8270348837209303,4.507883959893614,17.81517458899709,"[2.7977365279820807, 0.050628334722207666]",828.0,252.0,719.0,806.0,651.25
Weibull,159,0.22307929785171365,0.7786177105831533,4.4461585957034275,17.83013155928223,"[2.840722186284927, 0.05015836043819059]",748.0,372.0,657.0,828.0,651.25
Gen_Gamma,165,0.032478223979430496,0.9984709480122324,6.064956447958861,26.21210483060346,"[116171.24369574526, 0.004971990426640134, 0.5287726550469004]",6.0,12.0,1106.0,1484.0,652.0
Logistic,159,0.22330852014143535,0.7786177105831533,4.446617040282871,17.830590003861673,"[7.687515962457287e-08, 0.16995441985113133]",750.0,372.0,659.0,829.0,652.5
Logistic,140,0.254119083293188,0.8270348837209303,4.508238166586376,17.81552879568985,"[9.503282217827588e-08, 0.1693910779729008]",830.0,252.0,721.0,808.0,652.75
LogNormal,24,0.24144879264829733,0.7291976840363937,4.482897585296595,17.59649447731379,"[0.7543967884303158, 2.694290179800136e-06]",797.0,564.0,697.0,559.0,654.25
Gen_Gamma,153,0.04640324735415192,0.9304635761589404,6.092806494708304,26.098942011873742,"[118685.44685699082, 0.005041417637874482, 0.5473850905668418]",26.0,21.0,1112.0,1458.0,654.25
Burr_III,122,0.211559442476623,0.7208609643700123,4.423118884953246,17.76157357949672,"[0.1570535866243024, 0.05884927539966322]",699.0,587.0,620.0,712.0,654.5
Burr_XII,122,0.212001285057945,0.7208609643700123,4.42400257011589,17.76245726465936,"[0.04338922487129713, 4.738805852960164]",704.0,587.0,623.0,715.0,657.25
Exponential,48,0.45759001348656525,0.5564373897707232,2.9151800269731307,9.485724393886363,[2.1886245235243154],1153.0,1409.0,38.0,34.0,658.5
Gamma,182,0.2104645756048895,0.7206378986866792,4.420929151209779,17.78057338093869,"[6.1972850850193e-05, 0.0066466961407637085]",692.0,590.0,614.0,738.0,658.5
Exponential,169,0.4800529848778069,0.5662650602409638,2.960105969755614,9.64653547841715,[2.8809876348690606],1185.0,1357.0,46.0,49.0,659.25
Weibull,182,0.21106684195040407,0.7206378986866792,4.4221336839008085,17.781777913629718,"[2.8042998714790444, 0.05270629955528135]",696.0,590.0,617.0,742.0,661.25
Gamma,162,0.2263454091529641,0.7721160651096957,4.452690818305928,17.833638825422014,"[5.380875986148828e-05, 0.006379292837106405]",763.0,379.0,669.0,836.0,661.75
Exponential,167,0.4858367557624226,0.5660569105691057,2.971673511524845,9.659115678500768,[2.8809876834051917],1189.0,1358.0,49.0,51.0,661.75
Exponential,166,0.6865336035500862,0.5915637860082306,3.3730672071001724,10.0610153189389,[2.880987659345864],1353.0,1129.0,81.0,85.0,662.0
Logistic,182,0.21126426377934315,0.7206378986866792,4.422528527558686,17.782172757287597,"[2.142533297068867e-07, 0.17851668030865894]",698.0,590.0,619.0,743.0,662.5
Gamma,141,0.2613088736991902,0.8380768612317092,4.52261774739838,17.828162718714502,"[4.702743456771197e-05, 0.006414308963343989]",859.0,231.0,743.0,820.0,663.25
Gamma,157,0.23119846574550434,0.7857661583151779,4.462396931491009,17.847377198037464,"[5.047798882953017e-05, 0.006265327590151328]",775.0,344.0,679.0,857.0,663.75
Weibull,162,0.2270879984247486,0.7721160651096957,4.454175996849497,17.835124003965582,"[2.8375831295389995, 0.050665941922566064]",765.0,379.0,671.0,841.0,664.0
Gamma,142,0.2564576485038052,0.8435435435435436,4.51291529700761,17.865407539549285,"[4.1888915124653955e-05, 0.006084822888671857]",844.0,217.0,731.0,865.0,664.25
Gen_Gamma,29,0.04516081330294519,0.8523527754296986,6.09032162660589,25.780833909444354,"[3958.4334666536183, 0.01085925528203205, 6.591765745436256]",18.0,160.0,1110.0,1372.0,665.0
Logistic,162,0.22733524591991852,0.7721160651096957,4.454670491839837,17.835618498955924,"[9.503553133345359e-08, 0.17191949114608782]",768.0,379.0,673.0,842.0,665.5
Weibull,142,0.2572971145423798,0.8435435435435436,4.51459422908476,17.867086471626436,"[2.8683370158174686, 0.047849100962927514]",847.0,217.0,733.0,866.0,665.75
Exp_Weibull,29,0.045194373456831693,0.8523527754296986,6.090388746913663,25.780901029752126,"[1.4409960453758733e-08, 2.2010291455011317, 0.004920658376844657]",19.0,160.0,1111.0,1373.0,665.75
Weibull,141,0.26203559110938035,0.8380768612317092,4.52407118221876,17.829616153534882,"[2.8185852310369737, 0.0499341490917581]",864.0,231.0,747.0,824.0,666.5
LogNormal,23,0.2680030516968093,0.760106150937909,4.5360061033936185,17.651524409719414,"[0.9010438994740874, 1.866590644580103e-10]",875.0,434.0,755.0,603.0,666.75
Logistic,142,0.25757689589553084,0.8435435435435436,4.515153791791062,17.867646034332736,"[2.911904689058221e-08, 0.1622122532910997]",849.0,217.0,735.0,867.0,667.0
Weibull,157,0.23196299792155434,0.7857661583151779,4.463925995843109,17.848906262389566,"[2.85154889395663, 0.049828433560171206]",782.0,344.0,685.0,859.0,667.5
Logistic,157,0.23222862587522777,0.7857661583151779,4.4644572517504555,17.849437518296913,"[6.846205951413364e-08, 0.16941567606465066]",783.0,344.0,686.0,860.0,668.25
Logistic,141,0.2622700137404872,0.8380768612317092,4.524540027480974,17.830084998797094,"[7.555409800022784e-08, 0.16824348446803428]",866.0,231.0,749.0,827.0,668.25
LogNormal,13,0.21811197635141594,0.6424734567124092,4.436223952702832,17.53554471581031,"[1.597393528717436, 6.434955006521758e-14]",724.0,810.0,639.0,501.0,668.5
Exponential,157,0.7015181098076734,0.5925925925925927,3.4030362196153465,10.095526352888575,[2.881038167172397],1375.0,1120.0,88.0,92.0,668.75
Gen_Gamma,191,0.048816540733682814,0.920911528150134,6.097633081467365,26.221073734542028,"[109031.5911339377, 0.0049576076129727925, 0.5513844767505177]",29.0,52.0,1113.0,1490.0,671.0
Logistic,14,0.12037418941228109,0.5458196046128501,4.240748378824562,17.345869049331622,"[0.0035452821356753853, 0.33682353195198916]",430.0,1480.0,416.0,363.0,672.25
Burr_III,14,0.12039597050181601,0.5458196046128501,4.240791941003632,17.34591261151069,"[0.3658396906360747, 0.18516711840266706]",432.0,1480.0,417.0,364.0,673.25
Gamma,199,0.21950622778930656,0.7209705372616984,4.439012455578613,17.782271545019924,"[6.398452163326394e-05, 0.006567601268427477]",728.0,580.0,642.0,744.0,673.5
Gamma,33,0.12837174884961478,0.5608773500447627,4.2567434976992296,17.409176561430627,"[1.120024728465936, 0.9845706001386642]",453.0,1387.0,435.0,420.0,673.75
Burr_XII,14,0.12045454697119373,0.5458196046128501,4.2409090939423875,17.346029764449447,"[0.16156546114406872, 3.0607786235486576]",433.0,1480.0,418.0,365.0,674.0
Exponential,35,0.27411398658752223,0.5100873362445416,2.5482279731750443,9.118203350030251,[1.1363493917854208],900.0,1783.0,9.0,8.0,675.0
Weibull,14,0.12059563681870436,0.5458196046128501,4.241191273637408,17.346311944144468,"[2.1773090160213084, 0.0999372386200017]",436.0,1480.0,421.0,366.0,675.75
Exponential,50,0.5630368423099524,0.5684496226664901,3.1260736846199046,9.706429450993783,[2.1262430176457996],1249.0,1341.0,62.0,57.0,677.25
Weibull,199,0.2203701288381748,0.7209705372616984,4.4407402576763495,17.78399934711766,"[2.802205065288168, 0.05390127338799005]",736.0,580.0,647.0,748.0,677.75
Gamma,14,0.12135297505932696,0.5458196046128501,4.242705950118654,17.347826620625714,"[0.0003847209932291581, 0.012884704032014842]",439.0,1480.0,424.0,371.0,678.5
Logistic,199,0.2206272931532915,0.7209705372616984,4.441254586306583,17.784513675747895,"[3.72312326420643e-07, 0.18449248709527608]",737.0,580.0,648.0,750.0,678.75
Gamma,145,0.2553299900821304,0.826303317535545,4.510659980164261,17.907688475917478,"[4.052805510449206e-05, 0.005858606541176661]",835.0,266.0,725.0,897.0,680.75
Burr_XII,53,0.17913913619705582,0.5950191570881226,4.358278272394112,17.53395433436525,"[0.04152719765581587, 4.785469998199856]",603.0,1080.0,548.0,497.0,682.0
Burr_III,53,0.17915806558641156,0.5950191570881226,4.358316131172823,17.533992193143963,"[0.1520439144049975, 0.05679814414026308]",604.0,1080.0,549.0,498.0,682.75
Gamma,148,0.23131475052210634,0.7485681557846506,4.462629501044213,17.80691660387233,"[6.578538224773185e-05, 0.007008323393449938]",777.0,488.0,680.0,786.0,682.75
Burr_III,116,0.20441498962611462,0.6405904800160674,4.408829979252229,17.67735970525638,"[0.162676282102738, 0.058405924798301964]",684.0,821.0,609.0,618.0,683.0
Burr_XII,116,0.20462624488245806,0.6405904800160674,4.409252489764916,17.677782215769067,"[0.04460520154441865, 4.756781142707451]",685.0,821.0,610.0,619.0,683.75
Weibull,148,0.23171497439168745,0.7485681557846506,4.463429948783375,17.807717051611494,"[2.7547142626536516, 0.05418937675001004]",778.0,488.0,681.0,790.0,684.25
Gamma,144,0.2727104641200466,0.8507194244604317,4.545420928240093,17.943450174577116,"[3.0435836951228418e-05, 0.005398207168039296]",890.0,168.0,766.0,917.0,685.25
LogNormal,174,0.29801847610078075,0.9181286549707601,4.596036952201562,18.021556902121986,"[0.5886196943862484, 2.3612366955318662e-14]",938.0,59.0,798.0,946.0,685.25
Weibull,145,0.256390806813343,0.826303317535545,4.512781613626686,17.909810109379904,"[2.9054925727251435, 0.046919502586426846]",843.0,266.0,730.0,902.0,685.25
Gamma,149,0.22017618075322057,0.745433789954338,4.4403523615064415,17.833372839886227,"[6.915672556057222e-05, 0.006927199495734605]",733.0,530.0,644.0,835.0,685.5
Logistic,148,0.23184003466701839,0.7485681557846506,4.463680069334036,17.807967172162154,"[3.8986703576383443e-07, 0.18196858003798114]",781.0,488.0,684.0,791.0,686.0
Exponential,11,0.7166631913588963,0.5861010263995338,3.4333263827177927,9.9864657009075,[0.22567546437167899],1392.0,1182.0,92.0,80.0,686.5
Logistic,145,0.25672082009284053,0.826303317535545,4.513441640185681,17.9104701359389,"[2.1296279307799372e-08, 0.16140172287670676]",845.0,266.0,732.0,903.0,686.5
Gamma,139,0.273849486467353,0.8478406990421778,4.547698972934706,17.904281196451837,"[3.82135080697009e-05, 0.005855937871172643]",895.0,196.0,769.0,891.0,687.75
