distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Burr_XII,150,0.06477838665790692,0.8618724229929663,4.129556773315814,17.47110133200489,"[0.044305306884828824, 4.495087162990402]",106.0,123.0,183.0,452.0,216.0
Burr_XII,154,0.06348249929011382,0.8541912632821723,4.1269649985802275,17.46301316081787,"[0.04416073844995012, 4.494559720232196]",98.0,146.0,180.0,441.0,216.25
Gamma,35,0.05753501070407578,0.7565065502183406,4.115070021408152,17.255020775118563,"[0.00022796369285328587, 0.011710043793370255]",43.0,460.0,140.0,227.0,217.5
Weibull,35,0.057980807445599324,0.7565065502183406,4.115961614891199,17.25591236860161,"[2.275733045888546, 0.08558670161394369]",46.0,460.0,141.0,228.0,218.75
Burr_XII,35,0.058086360014787966,0.7565065502183406,4.116172720029576,17.256123473739986,"[0.1337268782591036, 3.236809080030726]",47.0,460.0,142.0,229.0,219.5
Burr_III,35,0.058124395743428196,0.7565065502183406,4.116248791486856,17.25619954519727,"[0.3151856370330197, 0.1620202157545858]",48.0,460.0,143.0,230.0,220.25
Burr_III,140,0.05939782683377098,0.8270348837209303,4.118795653667542,17.426086282771017,"[0.15113989465879044, 0.0704283072833172]",58.0,252.0,150.0,424.0,221.0
Logistic,35,0.058189835991446746,0.7565065502183406,4.116379671982894,17.256330425693307,"[0.0005810601302711239, 0.27989037246450893]",49.0,460.0,144.0,231.0,221.0
Burr_XII,140,0.059566714384241916,0.8270348837209303,4.1191334287684835,17.42642405787196,"[0.044281219639822955, 4.4740277189226]",59.0,252.0,151.0,425.0,221.75
Burr_III,195,0.06651792467362601,0.8905511811023622,4.133035849347252,17.545354431204974,"[0.15221173740166202, 0.06801041678801717]",124.0,88.0,197.0,516.0,231.25
Burr_XII,195,0.06674147942700656,0.8905511811023622,4.133482958854013,17.545801540711736,"[0.04405305008112482, 4.525380386340312]",127.0,88.0,200.0,518.0,233.25
Burr_III,183,0.06783422298358262,0.8582030214683276,4.135668445967165,17.49429252775251,"[0.15189274723461707, 0.06878322039955113]",133.0,130.0,204.0,467.0,233.5
Burr_XII,183,0.06803413097652125,0.8582030214683276,4.136068261953042,17.494692343738386,"[0.04413213244464941, 4.5086655544305]",134.0,130.0,205.0,469.0,234.5
Burr_III,173,0.057130735004699194,0.7988258317025441,4.1142614700093985,17.483063690809686,"[0.15141659388910417, 0.06928875251242744]",40.0,326.0,138.0,457.0,240.25
Burr_XII,173,0.05725520489277121,0.7988258317025441,4.1145104097855425,17.48331263058583,"[0.04408531166630924, 4.497882520597038]",42.0,326.0,139.0,458.0,241.25
Weibull,33,0.045063482185948175,0.7069829901521933,4.090126964371897,17.242560028103295,"[2.237872120607569, 0.08723369430008072]",14.0,632.0,119.0,205.0,242.5
Burr_III,179,0.060908991982337006,0.8394886363636365,4.121817983964674,17.544045752071764,"[0.15246247955183798, 0.0682075042014004]",74.0,224.0,161.0,513.0,243.0
Burr_XII,33,0.045109182120437075,0.7069829901521933,4.090218364240874,17.242651427972273,"[0.1362040644155644, 3.18506963281747]",15.0,632.0,120.0,206.0,243.25
Burr_III,33,0.04513436514101892,0.7069829901521933,4.0902687302820375,17.242701794013435,"[0.3166609170202507, 0.16816146935088402]",16.0,632.0,121.0,207.0,244.0
Burr_XII,179,0.061027531645392284,0.8394886363636365,4.122055063290785,17.544282831397872,"[0.04413249610144152, 4.521596650716602]",77.0,224.0,164.0,514.0,244.75
Logistic,33,0.04514650015052454,0.7069829901521933,4.090293000301049,17.242726064032446,"[0.0006889180418947062, 0.28122585457134425]",17.0,632.0,122.0,208.0,244.75
Exponential,191,0.2070454540461884,0.8217158176943699,2.4140909080923767,9.121904459117264,[1.7416254847910961],688.0,295.0,5.0,9.0,249.25
Burr_III,141,0.06901010164268277,0.8380768612317092,4.1380202032853655,17.443565174601485,"[0.15228180763513183, 0.06982363606574568]",140.0,231.0,207.0,428.0,251.5
Burr_XII,141,0.06921208373137987,0.8380768612317092,4.13842416746276,17.44396913877888,"[0.04446625407612413, 4.487533958486973]",142.0,231.0,209.0,434.0,254.0
Burr_III,168,0.05153120872168485,0.7686116700201207,4.10306241744337,17.476934349450033,"[0.15132208229508687, 0.06959101883561081]",37.0,393.0,136.0,455.0,255.25
Burr_XII,45,0.06672280441280212,0.7699156513589503,4.133445608825604,17.30165340222333,"[0.11770465108569542, 3.424064774648244]",125.0,389.0,198.0,310.0,255.5
Burr_XII,168,0.05159552608960733,0.7686116700201207,4.1031910521792145,17.47706298418588,"[0.044097174636383685, 4.491753888785131]",38.0,393.0,137.0,456.0,256.0
Logistic,45,0.06673752955419052,0.7699156513589503,4.133475059108381,17.301682852506108,"[0.0001539082379158451, 0.2545746388026648]",126.0,389.0,199.0,311.0,256.25
Burr_III,45,0.0667530682110827,0.7699156513589503,4.133506136422166,17.301713929819893,"[0.288999889781923, 0.14065318513418554]",128.0,389.0,201.0,312.0,257.5
Gamma,28,0.06465455257781694,0.7458495932270653,4.129309105155634,17.26127581632697,"[0.00018935416432836204, 0.010840501644011352]",105.0,516.0,182.0,237.0,260.0
Gamma,26,0.06871271497916985,0.7614412136536031,4.1374254299583395,17.281545615672496,"[0.00020079400835778204, 0.010894339699430692]",138.0,426.0,206.0,271.0,260.25
Burr_XII,44,0.06918970950529137,0.7713101815311759,4.138379419010583,17.299090951758338,"[0.11963750363082276, 3.4067213391142754]",141.0,386.0,208.0,307.0,260.5
Weibull,28,0.06491532609057753,0.7458495932270653,4.129830652181155,17.261797363352493,"[2.35188869894034, 0.07924943803784232]",107.0,516.0,184.0,238.0,261.25
Burr_XII,28,0.06499443085077532,0.7458495932270653,4.129988861701551,17.26195557287289,"[0.12170685382677046, 3.3600121884797365]",108.0,516.0,185.0,239.0,262.0
Burr_III,44,0.06922313224194004,0.7713101815311759,4.13844626448388,17.299157797231633,"[0.29274586489528975, 0.14253974097882866]",144.0,386.0,211.0,308.0,262.25
Burr_III,28,0.06503053008730751,0.7458495932270653,4.130061060174615,17.262027771345952,"[0.294122904281041, 0.14726939796747673]",109.0,516.0,186.0,240.0,262.75
Logistic,44,0.06922606590929851,0.7713101815311759,4.138452131818597,17.29916366456635,"[0.00018397277182256072, 0.2581788941233176]",145.0,386.0,212.0,309.0,263.0
Weibull,24,0.0692174956905799,0.7488833746898262,4.1384349913811596,17.252031883398356,"[2.375927477140759, 0.07755415077985112]",143.0,483.0,210.0,217.0,263.25
Logistic,28,0.06507062036007749,0.7458495932270653,4.130141240720155,17.262107951891494,"[0.00021424849396550847, 0.2590116484698656]",110.0,516.0,187.0,241.0,263.5
Burr_XII,24,0.06932974531945166,0.7488833746898262,4.138659490638903,17.2522563826561,"[0.11876545721840506, 3.396452267020293]",146.0,483.0,213.0,218.0,265.0
Burr_III,24,0.06936880481428932,0.7488833746898262,4.138737609628579,17.252334501645773,"[0.2894376763334977, 0.14337141884120538]",147.0,483.0,214.0,219.0,265.75
Logistic,24,0.06944682790776704,0.7488833746898262,4.138893655815534,17.25249054783273,"[0.00016222976974223803, 0.25419224053368533]",149.0,483.0,216.0,220.0,267.0
Burr_III,160,0.0735936428139131,0.8675435913123279,4.147187285627826,17.530152438653683,"[0.15272955819027792, 0.0681709066526733]",205.0,116.0,253.0,495.0,267.25
Weibull,26,0.06950040752267457,0.7614412136536031,4.139000815045349,17.283121000759504,"[2.3416247600727607, 0.08113337349286082]",150.0,426.0,217.0,276.0,267.25
Burr_XII,26,0.06966608972472214,0.7614412136536031,4.139332179449444,17.283452365163598,"[0.12524441111241288, 3.340843895449819]",151.0,426.0,218.0,277.0,268.0
Burr_III,26,0.06971831027920972,0.7614412136536031,4.13943662055842,17.283556806272575,"[0.3018219316031203, 0.14961009584273588]",152.0,426.0,219.0,279.0,269.0
Burr_III,161,0.07434767423244197,0.9242811501597444,4.148695348464884,17.58340468114193,"[0.15289930745389568, 0.06739906048445463]",220.0,37.0,266.0,554.0,269.25
Burr_XII,161,0.07470041774077457,0.9242811501597444,4.149400835481549,17.584110168158595,"[0.04414474603900772, 4.538716101089694]",221.0,37.0,267.0,555.0,270.0
Logistic,26,0.06983729026061614,0.7614412136536031,4.139674580521232,17.28379476623539,"[0.0002869198465283427, 0.2662373664954026]",153.0,426.0,220.0,282.0,270.25
Burr_XII,160,0.07387204790979941,0.8675435913123279,4.147744095819599,17.530709248845458,"[0.04425467532165715, 4.522186220256592]",212.0,116.0,258.0,496.0,270.5
Burr_III,167,0.0654517091177809,0.8099593495934959,4.130903418235562,17.50578775218741,"[0.15243017876202347, 0.06889362680709821]",118.0,297.0,192.0,483.0,272.5
Burr_XII,167,0.06557936604564525,0.8099593495934959,4.131158732091291,17.506043066043137,"[0.044263078767599925, 4.507199778702641]",122.0,297.0,196.0,484.0,274.75
Exponential,153,0.3021683369400745,0.8559602649006621,2.604336673880149,9.273048512935297,[2.832381355996298],940.0,138.0,13.0,18.0,277.25
Burr_III,170,0.07279621076661681,0.8531531531531531,4.145592421533234,17.57374222061628,"[0.15320458472908616, 0.06774614131510918]",192.0,153.0,246.0,544.0,283.75
Gamma,37,0.06516732129866545,0.7186165670367207,4.130334642597331,17.259251410364033,"[0.00023083966252958823, 0.011603528239699921]",113.0,605.0,189.0,232.0,284.75
Burr_XII,170,0.07299486864162111,0.8531531531531531,4.145989737283243,17.574139536366285,"[0.04424420953488148, 4.532040352079318]",196.0,153.0,248.0,545.0,285.5
Burr_III,148,0.05986755679149225,0.7485681557846506,4.119735113582984,17.464022216411102,"[0.15189333194879542, 0.06986249403385995]",63.0,488.0,152.0,442.0,286.25
Weibull,37,0.06540199282856658,0.7186165670367207,4.130803985657133,17.25972075342384,"[2.280415786098707, 0.08600574735319927]",117.0,605.0,191.0,233.0,286.5
Burr_XII,37,0.06548417397403876,0.7186165670367207,4.130968347948078,17.25988511571478,"[0.1346706935750052, 3.241208233037974]",119.0,605.0,193.0,234.0,287.75
Burr_XII,148,0.05996874606945045,0.7485681557846506,4.1199374921389005,17.46422459496702,"[0.04431763997714046, 4.4867432795800966]",66.0,488.0,154.0,443.0,287.75
Burr_III,37,0.0655116675832144,0.7186165670367207,4.131023335166429,17.259940102933133,"[0.31801033775295606, 0.16162275885149793]",120.0,605.0,194.0,235.0,288.5
Logistic,37,0.06557411798280731,0.7186165670367207,4.131148235965615,17.26006500373232,"[0.0006212686591672834, 0.2826676118317626]",121.0,605.0,195.0,236.0,289.25
Gamma,43,0.07298548313878513,0.7657232704402516,4.14597096627757,17.31604844290018,"[0.00020226981316306394, 0.010716558150189815]",195.0,401.0,247.0,322.0,291.25
Weibull,43,0.07331548044023681,0.7657232704402516,4.146630960880474,17.31670843750308,"[2.347719614389373, 0.08180799983768117]",200.0,401.0,249.0,323.0,293.25
Burr_XII,43,0.0733912255952674,0.7657232704402516,4.146782451190535,17.316859927813145,"[0.12713153065265984, 3.3423817092603327]",201.0,401.0,250.0,324.0,294.0
Burr_III,43,0.07342873093797837,0.7657232704402516,4.146857461875957,17.316934938498566,"[0.30709060553064244, 0.14975221538421785]",202.0,401.0,251.0,325.0,294.75
Logistic,43,0.0734583278575905,0.7657232704402516,4.146916655715181,17.31699413233779,"[0.0003490791612151953, 0.27215595965073897]",203.0,401.0,252.0,326.0,295.5
Burr_III,169,0.0651429507992679,0.7650602409638553,4.130285901598536,17.50314491892161,"[0.15238257448190667, 0.06897703056676296]",111.0,408.0,188.0,479.0,296.5
Burr_XII,169,0.06525127629591505,0.7650602409638553,4.13050255259183,17.503361569914905,"[0.044262832234645604, 4.505490465639034]",114.0,408.0,190.0,480.0,298.0
Gamma,41,0.07216138997283175,0.7364130434782609,4.1443227799456634,17.27133096850464,"[0.0001977227159163465, 0.010817255930932962]",186.0,549.0,241.0,242.0,304.5
Weibull,41,0.07217585751056464,0.7364130434782609,4.144351715021129,17.271359903580105,"[2.332999784959921, 0.08213446907755065]",187.0,549.0,242.0,243.0,305.25
Gamma,34,0.06168368471702902,0.6903690369036903,4.1233673694340585,17.275800433165454,"[0.00022654822633467263, 0.01154855493451679]",88.0,708.0,171.0,256.0,305.75
Burr_XII,41,0.07220654801257728,0.7364130434782609,4.144413096025154,17.27142128458413,"[0.12803120954977196, 3.3180723370185365]",188.0,549.0,243.0,244.0,306.0
Weibull,34,0.06187206112967178,0.6903690369036903,4.123744122259343,17.27617718599074,"[2.292069120582589, 0.08479174020703793]",89.0,708.0,172.0,257.0,306.5
Burr_III,41,0.07222750110384141,0.7364130434782609,4.144455002207683,17.271463190766656,"[0.3076449941498186, 0.15256172997496836]",189.0,549.0,244.0,245.0,306.75
Burr_XII,34,0.06192888827948183,0.6903690369036903,4.123857776558964,17.27629084029036,"[0.13231417629342623, 3.2610605858938806]",90.0,708.0,173.0,258.0,307.25
Logistic,41,0.07223371882479922,0.7364130434782609,4.144467437649598,17.271475626208574,"[0.00039039771937536885, 0.27328049906933816]",190.0,549.0,245.0,246.0,307.5
Burr_III,34,0.06195158282645533,0.6903690369036903,4.12390316565291,17.27633622938431,"[0.3136096736434872, 0.15908664372781572]",91.0,708.0,174.0,259.0,308.0
Logistic,34,0.061985974782012905,0.6903690369036903,4.123971949564026,17.276405013295424,"[0.0005254665148333517, 0.2785731448762089]",92.0,708.0,175.0,260.0,308.75
Weibull,31,0.07367946940934123,0.7551401869158879,4.147358938818682,17.313695299498225,"[2.4081688931802145, 0.07625550246051362]",208.0,467.0,254.0,318.0,311.75
Burr_III,142,0.07870174017740743,0.8435435435435436,4.157403480354815,17.50989572289649,"[0.15326892223872368, 0.06844637301668145]",255.0,217.0,294.0,485.0,312.75
Burr_XII,31,0.07378576103614051,0.7551401869158879,4.147571522072281,17.31390788275182,"[0.11652030353042098, 3.443873857326335]",210.0,467.0,256.0,319.0,313.0
Burr_XII,142,0.0789731649254555,0.8435435435435436,4.157946329850911,17.510438572392587,"[0.04446957103188004, 4.516956242991877]",256.0,217.0,295.0,486.0,313.5
Burr_III,31,0.0738297494802422,0.7551401869158879,4.1476594989604845,17.313995859640023,"[0.287043676134601, 0.13841853484202776]",211.0,467.0,257.0,320.0,313.75
Burr_III,172,0.07104473074814134,0.7786561264822134,4.142089461496282,17.51190665313794,"[0.15265130416145178, 0.0686602744132679]",173.0,365.0,233.0,487.0,314.5
Exponential,164,0.21227529872858175,0.7384615384615385,2.4245505974571637,9.085670957680044,[2.82267905331369],707.0,539.0,6.0,7.0,314.75
Logistic,31,0.07388763467711852,0.7551401869158879,4.147775269354237,17.31411163003378,"[0.0001291697947211176, 0.251806928361802]",213.0,467.0,259.0,321.0,315.0
Gamma,36,0.06941911607777065,0.7068792367562139,4.138838232155542,17.279926965982007,"[0.00024662644304457136, 0.011732899645152724]",148.0,637.0,215.0,261.0,315.25
Burr_XII,172,0.07119588535938881,0.7786561264822134,4.142391770718778,17.512208962360436,"[0.04428752913968591, 4.5122180480804595]",175.0,365.0,235.0,488.0,315.75
Burr_III,155,0.08251977947403911,0.8493942731277534,4.165039558948078,17.552032910717337,"[0.15337412729903685, 0.06774949647175411]",267.0,175.0,303.0,527.0,318.0
Burr_III,152,0.04439284149616244,0.666444740346205,4.088785682992325,17.37502717902038,"[0.14928708961816411, 0.07216312829544619]",10.0,753.0,117.0,393.0,318.25
Burr_XII,152,0.04442481187985597,0.666444740346205,4.088849623759712,17.375091119787765,"[0.04405083447469082, 4.437820136227245]",11.0,753.0,118.0,394.0,319.0
Burr_XII,155,0.08282005557008947,0.8493942731277534,4.165640111140179,17.552633462909437,"[0.04435157143330961, 4.531695731902319]",268.0,175.0,304.0,530.0,319.25
Weibull,36,0.06984218968647814,0.7068792367562139,4.139684379372956,17.28077311319942,"[2.2694356898602255, 0.08778251428660684]",154.0,637.0,221.0,267.0,319.75
Burr_XII,36,0.06995598496671472,0.7068792367562139,4.139911969933429,17.281000703759894,"[0.13789022935989395, 3.223005336541184]",157.0,637.0,222.0,268.0,321.0
Burr_III,36,0.06999403811130833,0.7068792367562139,4.139988076222616,17.281076810049083,"[0.32444335156109594, 0.16393099716154358]",158.0,637.0,223.0,269.0,321.75
Logistic,36,0.07007308887482784,0.7068792367562139,4.1401461777496555,17.28123491157612,"[0.0007642874498257592, 0.28872434536149727]",159.0,637.0,224.0,270.0,322.5
Burr_III,163,0.07376700996347256,0.7921264539218609,4.147534019926945,17.526462844640324,"[0.1533064732504763, 0.06853376874541503]",209.0,335.0,255.0,493.0,323.0
Burr_III,180,0.05028668997493607,0.6984052532833023,4.100573379949872,17.462256345839013,"[0.15088690191431783, 0.06989635086159328]",35.0,688.0,134.0,438.0,323.75
Burr_XII,180,0.050310943830245466,0.6984052532833023,4.100621887660491,17.462304853549632,"[0.044033208287759334, 4.485083193424342]",36.0,688.0,135.0,439.0,324.5
Burr_XII,163,0.07390408249671411,0.7921264539218609,4.147808164993428,17.52673698970681,"[0.04441464279180094, 4.515672989931758]",214.0,335.0,260.0,494.0,325.75
Burr_III,194,0.07586835442136157,0.8253546099290779,4.151736708842723,17.565379355627982,"[0.1524709699568919, 0.06756939367819943]",227.0,273.0,272.0,537.0,327.25
